id,xcoord,ycoord
1857,2.012925483,7.805745622
3105,2.014772847,4.409053698
388,2.01675205,0.929975505
3106,2.018764766,4.21283583
1642,2.018948632,2.084435076
389,2.025823339,0
393,2.026034496,0.697872933
234,2.027162254,0.418685169
977,2.027192945,1.492151589
395,2.027412868,0.273121079
979,2.030093495,1.453342085
2385,2.032604792,9.699717129
1645,2.033625134,2.78513638
392,2.034437435,0.943312336
3063,2.034720761,4.425776535
1798,2.035422295,3.163283855
215,2.039352425,0.072075532
978,2.039656894,1.999182991
1810,2.046504304,3.073912373
2399,2.056168091,9.378821097
1203,2.056606471,8.498797987
228,2.06065523,0.705233818
1248,2.06461251,5.054282389
217,2.066482005,0.112206244
2403,2.068164081,9.690343781
216,2.06875368,0.395739681
2401,2.072278265,9.410356443
1723,2.074891352,3.991056158
1644,2.080107368,2.120487795
3084,2.085243365,4.095739347
3109,2.08543153,4.571992827
1714,2.095897721,3.356576942
1321,2.09897824,8.374420097
3055,2.107554917,4.921819918
3108,2.112936108,4.860527316
989,2.113121564,1.398072638
972,2.11951318,1.649809288
1004,2.122722,1.629254639
3095,2.123012317,4.264880791
982,2.13263934,1.180052947
1325,2.137719973,8.579472004
238,2.150821905,0.624348948
1819,2.152927053,3.89384165
1257,2.155809874,5.841963388
402,2.160638069,0.959447089
3073,2.167638688,4.36864477
3086,2.170058296,4.772360483
1320,2.171302094,8.964627398
237,2.172834392,0.974307309
223,2.179735689,0.067708086
404,2.181662781,0.58063722
981,2.181794893,1.369642039
3089,2.188767556,4.655178431
1868,2.201339397,7.621834508
2392,2.212005613,9.106146517
372,2.213893258,0.3266115
2386,2.215001119,9.579816922
1231,2.215862801,5.315607219
390,2.224522561,0.091915268
1253,2.229417539,5.101215733
2406,2.231860135,9.913556743
1822,2.233317482,3.103797927
1639,2.233807324,2.028391682
3077,2.234840573,4.307641099
1829,2.236420221,3.337412149
1258,2.238761625,5.429286758
1224,2.239537359,5.61044943
985,2.245879586,1.101374051
1232,2.248364711,5.831994958
367,2.261359547,0.927686658
373,2.263922374,0.426332156
1804,2.264533878,3.738134281
2374,2.26660204,6.505794953
1856,2.267079556,7.055323761
1816,2.267499403,3.635690176
1238,2.267975317,5.762563313
974,2.273499574,1.316650959
2390,2.276567628,9.980731347
3066,2.282963546,4.361813252
1712,2.283713418,3.108124027
3087,2.284198773,4.187199079
374,2.285072396,0.91330543
1831,2.286735465,3.109585631
3078,2.290720724,4.294807994
232,2.290777228,0.339326359
3059,2.29100716,4.532061646
1805,2.29419853,3.38905553
2411,2.300350963,9.645441846
2413,2.30110297,9.829592461
3100,2.302080436,4.868284972
997,2.308978151,1.257979887
3081,2.309483617,4.609270402
980,2.310319813,1.65287851
1814,2.312713281,3.441014486
3318,2.313455188,2.088987981
381,2.31610237,0.55698543
399,2.317564152,0.215924506
1225,2.317737235,5.851095833
1226,2.320176444,5.352116109
1234,2.320583221,5.819305737
2387,2.321903772,9.935010988
2376,2.323027667,9.162247961
1717,2.323184795,3.468565768
1825,2.324183464,3.724085489
2402,2.325427851,9.828428608
371,2.326183405,0.526590308
1242,2.329675738,5.558734966
986,2.329699287,1.699906506
994,2.337595281,1.44836718
411,2.349913434,0.098202797
1812,2.353656375,3.19832713
2383,2.358999521,9.673722648
3062,2.361198503,3.998883115
3317,2.362066342,2.705153102
226,2.36445621,0.300743567
968,2.364559992,1.74741382
