Point,xcoord,ycoord
96,3.53587242,0.397741301
97,3.200592599,0.68060962
98,3.470457748,0.594370832
99,3.729697633,0.344767534
100,6.182676488,3.71543795
101,6.645096963,3.435042678
102,6.572519106,3.596706043
103,6.918406141,3.340102907
104,6.958997642,3.418089737
105,6.586757324,3.801851439
106,3.718404792,0.991551978
107,3.453357003,1.895387154
108,3.633915606,1.66334061
109,3.382269281,1.587140191
110,3.650922559,1.294375114
111,2.550442362,2.083742488
112,2.338485304,2.487697517
113,2.700796374,2.346365815
114,2.469523236,2.19725149
115,2.263401614,2.293411079
116,3.06170337,3.122846034
117,4.005967125,3.967711192
118,3.024511201,3.65562919
119,3.922452048,3.352560831
120,3.42660092,3.892998963
121,4.128757788,4.935595413
122,4.843433374,4.530079637
123,4.862854205,4.8680442
124,4.844733277,4.342323877
125,3.992665769,4.761249512
126,3.658217756,11.86799462
127,3.405980755,11.03588806
128,3.047697269,11.38932018
129,3.12057148,11.10112468
130,3.261198592,11.24675559
131,7.969093915,11.71531348
132,7.108721794,12.01677098
133,7.780282217,11.95000938
134,7.06213293,11.67670538
135,7.074721999,11.67975678
136,2.103769176,0.045823146
137,2.986482906,0.251686492
138,2.634657867,0.810027405
139,2.914730471,0.750700249
140,2.614421036,0.958011988
141,4.335782725,9.921505441
142,4.04366658,9.827167271
143,4.375396329,9.867112997
144,4.120772081,9.205117297
145,4.441947386,9.098804045
146,2.011321182,5.124535245
147,2.035490629,5.075643647
148,2.245554375,5.570410574
149,2.215604816,5.497133981
150,2.420430267,5.866129056
151,2.321889739,5.75352648
152,3.201961675,5.948094554
153,3.08426306,5.188523258
154,3.448765908,5.925502417
155,3.620352312,5.063505189
156,3.036421815,5.716856724
157,3.372801546,5.602875323
158,4.004981171,5.451839826
159,4.02302678,5.861446887
160,4.986037961,5.528121671
161,4.474708842,5.305539632
162,4.83085046,5.269947144
163,4.888559476,5.191559758
164,7.719380044,14.36872029
165,7.012782004,14.38333927
166,7.059647944,14.24124452
167,7.581677337,14.32857687
168,7.318524748,14.85169678
169,7.414037961,14.83673173
170,8.700000735,14.25592667
171,8.140694292,14.01323698
172,8.325025445,14.41511476
173,8.58498432,14.1285742
174,8.644554985,14.14990803
175,8.493138486,14.87612059
176,4.972224525,7.62651532
177,4.054897583,7.118591248
178,4.804895207,7.208908306
179,4.510765975,7.133972834
180,4.273803199,7.695873402
181,4.504462693,7.980519228
182,6.824120963,14.90253854
183,6.851519943,14.95044121
184,6.037114056,14.86587091
185,6.054726927,14.13896285
186,7.000937199,14.85174748
187,6.679538619,14.81411464
188,6.835033698,14.33865077
189,6.11862736,14.26132558
190,6.504841709,14.12771784
191,6.740472295,14.17944317
192,1.710931258,2.218569037
193,1.72067728,2.360278345
194,1.198187258,2.615577048
195,5.82222513,3.068569035
196,5.080205413,3.936386634
197,5.254426449,3.423591603
198,5.520995757,5.909577931
199,5.943634092,5.600530535
200,5.717958514,5.148459415
201,4.435926405,6.709417845
202,4.803688326,6.150993432
203,4.796240488,6.197634312
204,5.538126273,6.485310124
205,5.949286321,6.680473507
206,5.963329282,6.250092393
207,7.76693815,6.722140884
208,7.666726663,6.043384138
209,7.325839733,6.527692204
210,4.654761392,10.47310694
211,4.592980294,10.48535357
212,4.458974878,10.37525396
213,8.743488331,10.67709074
214,8.46716838,10.15265369
215,8.852371566,10.3702378
216,5.598577923,11.03606764
217,5.202158216,11.04384195
218,5.367307935,11.09092868
219,1.90996953,0.081688085
220,1.640797575,0.295130593
221,1.181499746,0.73997269
222,3.913452259,7.214555463
223,3.310280113,7.0963741
224,3.637422896,7.376696599
225,7.53562242,8.151292529
226,7.765362186,8.042009123
227,7.789699586,8.968068309
228,5.451206589,9.433559488
229,5.161008566,9.962214756
230,5.384078192,9.436862692
231,6.630996377,9.889756361
232,6.636135587,9.592975497
233,6.012207274,9.339033364
234,2.191416382,1.757025079
235,2.479595983,1.507974832
236,2.278525869,1.700122622
237,2.388279323,1.597184225
238,2.525236145,3.955067293
239,2.754248112,3.470641704
240,2.924224782,3.022285202
241,2.95964362,3.276905056
242,6.532707959,10.63624169
243,6.38970412,10.64395618
